Serial Number,Name,Paid for the Course,Age,City,Education,Domain,Channel Name
1,Miranda Bush,0,37,Jaipur,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2,Todd Romero,0,32,Chandigarh,Engineering,Other,Channel 2
3,Jenna Higgins,0,44,Bangalore,Engineering,Other,Channel 3
4,Dawn Davis,0,18,Indore,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 1
5,Kelly Ruiz,0,19,Firozabad,BCA,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
6,Veronica Mcclain,0,45,Mumbai,BBM/MCA/MBA/Management & Others,Other,Channel 5
7,Mitchell Hernandez,0,31,Asansol,B.Com/BBM/BBA/MBA/Management & others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
8,Sherry Ward,0,21,Bhiwandi,Engineering,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 1
9,Mark Collins PhD,0,43,Kolkata,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
10,John Miller,0,42,Hyderabad,Engineering,Other,Channel 5
11,Julia Richards,0,28,Amritsar,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
12,Andrew Buckley,0,45,Delhi,Engineering,Sales/Business Development/Legal,Channel 3
13,Cynthia Branch,0,31,Nanded,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
14,John Martinez,0,41,Chennai,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
15,Brooke Jenkins,0,33,Asansol,Engineering,Management/Leadership/Business Owner/Startup Founder/CXO,Channel 2
16,Jeremy Thomas,0,42,Kolkata,BBA,Other,Channel 5
17,Amanda Cameron,0,26,Hubli–Dharwad,Engineering,Data Science/Data Analysis/Business Intelligence,Channel 1
18,Gary Wilson,0,33,Tiruppur,BBM/MCA/MBA/Management & Others,Other,Channel 2
19,Christopher Hunter,0,36,Jhansi,B.Com/BBM/BBA/MBA/Management & others,Admin/Data Entry/Secretary/Front Office,Channel 2
20,Monique Martinez,0,30,Bhiwandi,B.Com,Pharma/Medical/Biotech/Healthcare,Channel 2
21,Danny Henson,0,44,Hyderabad,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
22,Emily Lopez,0,24,Srinagar,Engineering,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 1
23,Thomas Anthony,0,45,Mumbai,BBM/MCA/MBA/Management & Others,Other,Channel 5
24,Ivan Walker,0,42,Mumbai,Engineering,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 5
25,Amber Mckenzie,0,42,Mumbai,BBM/MCA/MBA/Management & Others,Sales/Business Development/Legal,Channel 3
26,Dylan Murray,0,28,Bijapur,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
27,Jason Murray,0,44,Bangalore,Engineering,BFSI/Tax/Audit/Insurance/Accounts/CA/Company Secretary,Channel 3
28,Brandy Taylor,0,22,Gulbarga,Engineering,Pharma/Medical/Biotech/Healthcare,Channel 1
29,Cory Lynch,0,45,Bangalore,Engineering,Sales/Business Development/Legal,Channel 4
30,Joseph Cooper,0,45,Kolkata,BBM/MCA/MBA/Management & Others,Admin/Data Entry/Secretary/Front Office,Channel 4
31,Alexandra Reyes,0,31,Sangli,B.Com,Data Science/Data Analysis/Business Intelligence,Channel 2
32,Natalie Wood,1,17,Chennai,BBM/MCA/MBA/Management & Others,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 1
33,Kenneth Garner,0,17,Kurnool,B.SC,BPO/KPO/Customer Service/ITES,Channel 1
34,Matthew Reed,0,34,Warangal,Engineering,BFSI/Tax/Audit/Insurance/Accounts/CA/Company Secretary,Channel 2
35,Carol Hampton,0,23,Patna,Engineering,Other,Channel 1
36,Bryan Sampson,0,45,Delhi,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
37,Destiny Robertson,0,41,Hyderabad,B.Com/BBM/BBA/MBA/Management & others,Other,Channel 3
38,Kelly Singleton,0,30,Kakinada,B.SC,Admin/Data Entry/Secretary/Front Office,Channel 2
39,Amanda Simpson,0,44,Mumbai,Engineering,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 3
40,Tiffany Williams,0,24,Gulbarga,Engineering,BFSI/Tax/Audit/Insurance/Accounts/CA/Company Secretary,Channel 1
41,Steve Patel,0,28,Ranchi,B.SC,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 1
42,Christina Elliott,0,25,Kozhikode,B.Com/BBM/BBA/MBA/Management & others,Core Engineering/R&D,Channel 1
43,Ryan Roman,0,32,Chandigarh,Engineering,Other,Channel 2
44,Benjamin Lopez,0,25,Dhanbad,B.Com,Teaching/Educators,Channel 1
45,James Lucas,0,42,Delhi,BCA,Sales/Business Development/Legal,Channel 5
46,Todd Berg,0,41,Delhi,BBA,IT/Software/Programming/Testing/Devops/Product Management,Channel 4
